,Text,Type
0,Soft Tofu Soup,4
1,Noodle Soups,4
2,Rice Noodle Soup,4
3,Bamee Wonton,4
4,Mussels di Napeli,5
5,Captese Flatbread,5
6,Grilled Chiken Flatbread,5
7,Bruschetta,5
8,Ultimate Feast,5
9,Mixed Grill,5
10,Fresh Atlantic,5
11,Admirals Feast,5
12,Bar Harbor Lobster Bake,5
13,Seaside Shrimp Trio,5
14,Parrot Isle Jumbo,5
15,Garlic Shrimp,5
16,Coconut Shrimp,5
17,WoodGrilled Tilapia,5
18,Shrimp Linguini,5
19,Sea Scallops,5
20,SoyGinger Salmon,5
21,Sirloin,5
22,Walts Favorite,5
23,WoodGrilled,5
24,Yucatan Tilapia and Shrimp,5
25,Dragon Shrimp,5
26,SouthwestStyle Tacos,5
27,Salmon New Orleans,5
28,Grilled Shrimp,5
29,Grilled Chicken,5
30,Grilled Tilapia,5
31,Lobster Meat,5
32,WildCaught Snow Crab Legs,5
33,Shrimp Linguini Alfredo,5
34,Parrot Isle Jumbo Coconut,5
35,Shrimp,5
36,Crab Linguini Alfredo,5
37,Signature Creamy Lobster,5
38,WoodGrilled Shrimp,5
39,Rock Lobster Tail,5
40,Walts Favorite Shrimp,5
41,Live Maine Lobster,5
42,Lobster and Langostino Pizza,5
43,SeafoodStuffed Mushrooms,2
44,Langostino LobsterArtichoke,2
45,Signature Jumbo Shrimp,2
46,PeppercornPanko Calamari,2
47,Seaside Sampler,2
48,SeafoodStuffed Mushrooms,2
49,Parrot Isle Jumbo Coconut Shrimp,2
50,Sweet Chili Shrimp,2
51,Create Your Own Appetizer,2
52,Mozzarella Cheesesticks,2
53,Chicken Breast Strips,2
54,Clam Strips,2
55,SeafoodStuffed Mushrooms,2
56,RoastedGarlic Mussels,2
57,New England Clam Chowder,4
58,Classic Caesar Salad,4
59,Lobster Bisque,4
60,Creamy Potato Bacon,4
61,WoodGrilled Shrimp,5
62,WoodGrilled Fresh Salmon,5
63,WoodGrilled Chicken,5
64,Enchiladas Suizas,5
65,Huevos Rancheros,5
66,Mexican Omelette S,5
67,Red Menudo  cup SO bowl,5
68,Vegetarian Omelette SL,5
69,Chilaquiles   S no protein SL,5
70,Huevos Divorciados I,5
71,Breakfast Burrito,5
72,Chorizo con Huevo,5
73,Tres Leches Pancakes SO,5
74,Chile verde  Eggs,5
75,Machaca  Eggs S,5
76,Draft Beer S,1
77,Micheladas,1
78,Mexican Coffee,1
79,Carne Asada Breakfats,5
80,Porkchops,5
81,Eggs SL,5
82,Salad,3
83,Mexican Cobb Salad,3
84,Chicken Tortilla Soup  cup,4
85,Green Chicken Pozole  cup SO bowl,4
86,Ensalada de la Casa,3
87,Albondiga,4
88,Red Menudo S cup SIO bowl,4
89,Blackened Sea Bass Salad,3
90,Mahi Mahi Burrito,5
91,Shrimp Enchiladas,5
92,Camarones al Mojo de Ajo,5
93,Signature Fish Taco Platter,5
94,Ahi Tacos,5
95,Blackened Salmon Filet,5
96,Enchiladas Espanolas,5
97,Enchiladas SI,5
